word,probability
thought,-4.826159259690499
intrusive,-5.401742487479153
want,-5.437881179656392
say,-5.485722241340223
bad,-5.48891744106492
really,-5.561756229669394
happen,-5.61236654370513
people,-5.625408431766189
compulsion,-5.684295429310382
try,-5.728412465392481
obsession,-5.774647918130541
start,-5.775757706656279
anxiety,-5.786815343522287
year,-5.831547544315681
help,-5.831955396245881
tell,-5.842245671261736
life,-5.842816985490772
stop,-5.862839047368546
im,-5.88636016776142
day,-5.945532547709893
look,-5.977828925870698
fear,-5.9909101826855835
need,-5.998280550514364
way,-6.009195411361487
person,-6.012619956402844
mind,-6.015992931051887
use,-6.058333133760695
come,-6.067750545563462
feeling,-6.071869113251329
lot,-6.07240132562031
right,-6.081404677483739
actually,-6.116097048379943
friend,-6.120925729057912
good,-6.136789251217535
obsess,-6.1387846245509845
dont,-6.140882290713007
talk,-6.16854586336
love,-6.191934264784668
real,-6.201962822239393
cause,-6.223700106033748
work,-6.231469093896777
experience,-6.23193277022722
month,-6.282027225571159
worry,-6.290621518913866
scar,-6.3254530905532125
remember,-6.32752990913988
head,-6.3285204674051645
hand,-6.341256676651582
past,-6.343249629434621
check,-6.357204438775762
ask,-6.360567687872493
sure,-6.363066402601501
therapist,-6.371037203247868
maybe,-6.372762874638731
sexual,-6.376062037979365
trigger,-6.377019130452614
deal,-6.3939530791965815
read,-6.400640857893867
wrong,-6.411109230882154
brain,-6.41202373747159
weird,-6.43128778143317
question,-6.445843974490028
new,-6.457844617827567
guy,-6.462143299245822
post,-6.4717593876970785
hard,-6.472863126323893
long,-6.485115016836193
family,-6.486437250046141
anymore,-6.486829565724998
struggle,-6.4896433695788875
week,-6.491873863755209
mental,-6.49527423566368
mean,-6.495707332228862
child,-6.512349894002061
let,-6.525219834261572
therapy,-6.540278068031126
touch,-6.54252616728934
felt,-6.549271459956136
believe,-6.549674556953729
away,-6.568730571407454
reassurance,-6.569266110736262
hour,-6.570566759811017
end,-6.58148295828042
symptom,-6.583732071829049
sleep,-6.5883439914557025
fuck,-6.601930510577558
harm,-6.603296499397936
afraid,-6.610216167844165
hurt,-6.612510868891262
recently,-6.613939594993401
live,-6.62039593416492
die,-6.620479100612035
lose,-6.622194357722619
hate,-6.630902442013102
enjoy,-6.636364558091945
little,-6.638839462826584
kind,-6.639057646954534
convince,-6.643051024827602
ago,-6.644322607034768
watch,-6.647950156597509
